매출,25년,,26년,,,,,,,
,금액,비중,금액,비중,,,,,,
OC(국내/제3자수출)," 217,147 ",42.9%," 223,872 ",39.9%,,,,,,
CN," 258,540 ",51.1%," 303,083 ",54.0%,,,,,,
HK," 20,663 ",4.1%," 25,832 ",4.6%,,,,,,
ST," 8,505 ",1.7%," 7,513 ",1.3%,,,,,,
ENT, 761 ,0.2%, 597 ,0.1%,,,,,,
수출판매,-0 ,0.0%, 0 ,0.0%,,,,,,
," 505,616 ",100.0%," 560,898 ",100.0%,,,,,,
,,,,,,,,,,
매출원가,25년,,26년,,,,,,,
,금액,매출대비,금액,매출대비,, 차이 ,,,,
OC(국내/제3자수출)," 74,119 ",34.1%," 77,444 ",34.6%,,0.5%, 기존내용 유지,,,
CN," 203,778 ",78.8%," 239,238 ",78.9%,,0.1%, 내용 삭제,,,
HK," 9,671 ",46.8%," 10,848 ",42.0%,,-4.8%, 홍콩 내용 확인피요,,,
ST," 1,966 ",23.1%," 2,261 ",30.1%,,7.0%, 기존내용 유지,,,
ENT," 1,530 ",201.0%, 827 ,138.5%,,-62.5%, 내용 삭제(확인 요청),,,
수출판매,"-115,182 ",,"-137,480 ",,,," [판매분 수출이익] : (25.1Q) 중국 +1,086억(59%), 홍콩 +49억(53%) / (중국연결평가감 환입) +16억",,,
," 175,883 ",34.8%," 193,139 ",34.4%,,-0.4%,,,"(26.1Q) 중국 +1,221억(58%), 홍콩 +62억(52%) / (중국연결평가감 환입) +91억",
