[F&F '26 별도 법인세 내역],,,,,,,,,,,,,
,,,,(단위 : 백만원),,,,,,,,,
법인세차감전순이익(연간),"105,283 ",,,"217,714 ",,,,,,,,,
과세표준(세무조정후)_3개월,"113,519 ",,,"220,500 ",,,,,,,,,
과세표준(세무조정후)_연환산,"454,076 ",,,"881,998 ",,,,,,,,,
[OC 별도],2025년,,[차이],2026년,,,,※ 국내 과세표준별 유효세율,,,,,※ 국내 과세표준별 유효세율
세율(주민세 포함),세액(연환산),,,세액(연환산),,,,세율,과세표준(연환산),법인세,유효세율,,
9.9%,20 ,,,22 ,,,,20.9%," 20,000 "," 4,158 ",20.8%,,
20.9%,"4,138 ",,,"4,356 ",,,,23.1%," 300,000 "," 68,838 ",22.9%,,
23.1%,"64,680 ",,,"67,760 ",,,,26.4%," 454,076 "," 109,514 ",24.1%,,
26.4%,"40,676 ",,,"160,049 ",,,,세율,과세표준(연환산),법인세,유효세율,,
,"109,514 ",24.1%,,"232,187 ",26.3%,,,22.0%," 20,000 "," 4,378 ",21.9%,,
산출세액(법인세차감전순이익 X 세율),"25,392 ",24.1%,2.2%,"57,314 ",26.3%,2.2%,,24.2%," 300,000 "," 72,138 ",24.0%,,
미환류세제,0 ,0.0%,0.0%,0 ,0.0%,0.0%,,27.5%," 881,998 "," 232,187 ",26.3%,,
세액공제,0 ,0.0%,0.0%,0 ,0.0%,0.0%,,,,,,,
세무조정효과 등,52 ,0.0%,0.0%,196 ,0.0%,0.0%,,,,,,,
"                         ☞ 퇴직급여, 재고평가감손실 등 일시적 차이 조정 내역의 이연법인세 효과",,,,,,,,,,,,,
법인세 소계,"25,444 ",24.2%,2.2%,"57,509 ",26.4%,2.2%,,,,,,,
(미환류 제외 법인세율),24.2%,,,26.4%,,2.2%,,,(단위 : 백만원),,,,
   연구개발비 세액공제 : ① 직전 과세년도 초과발생액 X 25% → 현재 적용중인 방법,,,,,,,,법인세율,과세표준(연환산),,,,
"                               ② 해당연도 (R&D)발생액 X MIN(매출액 (비용차지)비율/2, 2%)",,,,,,,,10.0%, 200 ,,,,
,,,,,,,,20.0%," 20,000 ",,,,
누적 법인세율,2025년,,[차이],2026년,,,,22.0%," 300,000 ",,,,
법인세차감전순이익,"105,283 ",," 112,431 ","217,714 ",,,,25.0%, 3천억 초과 ,,,,
법인세,"25,444 ",24.2%," 32,065 ","57,509 ",26.4%,,,,,,,,
법인세(미환류제외),"25,392 ",24.1%,,"57,314 ",26.3%,,,,(단위 : 백만원),,,,
미환류세 등,"(5,746)",-5.5%,,773 ,0.0%,,,법인세율,과세표준(연환산),,,,
세무조정,"5,799 ",5.5%,,(577),-0.3%,,,9.0%, 200 ,,,,
,,,,,,,,19.0%," 20,000 ",,,,
,"(5,746)",,,,,,,21.0%," 300,000 ",,,,
,0 ,,,,,,,24.0%, 3천억 초과 ,,,,
