재무제표 항목,B/S P&L 항목텍스트,26.1Q,25.1Q,절대 차이,백분율 차이
55210000,55210101 지급수수료_판매수수료,"48,600,161,587","47,159,395,550","1,440,766,037",3.1
55210000,55210103 지급수수료_중간관리수수료,"7,023,402,205","7,067,352,216","-43,950,011",0.6-
55210000,55210104 지급수수료_중간관리자(직영),"2,956,787,032","3,007,875,168","-51,088,136",1.7-
55210000,55210105 지급수수료_판매사원도급비(직영),"851,031,521","506,910,785","344,120,736",67.9
55210000,55210107 지급수수료_판매사원도급비(면세),"1,765,421,296","2,024,261,615","-258,840,319",12.8-
55210000,55210109 지급수수료_물류용역비,"4,400,543,270","4,132,604,395","267,938,875",6.5
55210000,55210111 지급수수료_물류운송비,"1,351,231,998","1,379,832,816","-28,600,818",2.1-
55210000,55210113 지급수수료_IT유지보수비,"269,248,948","511,921,596","-242,672,648",47.4-
55210000,55210115 지급수수료_IT사용료,"2,016,380,805","1,796,944,475","219,436,330",12.2
55210000,55210117 지급수수료_카드수수료,"518,444,735","382,981,508","135,463,227",35.4
55210000,55210119 지급수수료_회계감사,"114,917,637","204,398,348","-89,480,711",43.8-
55210000,55210121 지급수수료_법률자문료,"84,878,905","291,851,957","-206,973,052",70.9-
55210000,55210123 지급수수료_온라인몰운영비,"623,865,809","648,755,000","-24,889,191",3.8-
55210000,55210125 지급수수료_건물유지보수비,"43,052,619","47,193,221","-4,140,602",8.8-
55210000,55210127 지급수수료_매장보수대,"189,947,876","222,518,616","-32,570,740",14.6-
55210000,55210129 지급수수료_컨설팅,"18,612,263","65,014,743","-46,402,480",71.4-
55210000,55210131 지급수수료_인사채용,"263,552,883","72,205,104","191,347,779",265.0
55210000,55210133 지급수수료_교육훈련,"16,629,790","12,918,612","3,711,178",28.7
55210000,55210135 지급수수료_상표권,0,"1,647,320","-1,647,320",100.0-
55210000,55210137 지급수수료_중개수수료,"105,918,000","118,800,000","-12,882,000",10.8-
55210000,55210139 지급수수료_공증/등기,"3,977,640","1,110,030","2,867,610",258.3
55210000,55210141 지급수수료_폐기물처리,"22,010,000","34,805,680","-12,795,680",36.8-
55210000,55210143 지급수수료_공사비,"233,039,056","69,563,518","163,475,538",235.0
55210000,55210145 지급수수료_사내행사,"2,420,000","42,380,582","-39,960,582",94.3-
55210000,55210147 지급수수료_재고조사,"17,243,050","58,074,530","-40,831,480",70.3-
55210000,55210149 지급수수료_온라인위탁판매수수료,"2,335,269,754","2,194,138,677","141,131,077",6.4
55210000,55210153 지급수수료_PG수수료,"190,228,400","209,509,858","-19,281,458",9.2-
55210000,55210157 지급수수료_퀵서비스,"55,272,700","53,098,930","2,173,770",4.1
55210000,55210159 지급수수료_로열티,"25,618,788,950","22,433,422,452","3,185,366,498",14.2
55210000,55210161 지급수수료_보안,"44,122,449","31,801,161","12,321,288",38.7
55210000,55210163 지급수수료_리스료(차량),"2,957,400","4,436,100","-1,478,700",33.3-
55210000,55210165 지급수수료_렌탈료(차량),"64,860,720","81,200,570","-16,339,850",20.1-
55210000,55210169 지급수수료_렌탈료(차량제외),"30,699,416","22,173,534","8,525,882",38.5
55210000,55210171 지급수수료_수출입관련,"82,523,335","423,181,162","-340,657,827",80.5-
55210000,55210173 지급수수료_기타,"342,924,840","875,574,647","-532,649,807",60.8-
55210000,55210175 지급수수료_마일리지,"38,265,600","41,174,500","-2,908,900",7.1-
55210000,55210179 지급수수료_지급용역비,"2,162,755,150","1,907,912,534","254,842,616",13.4
55210000,55210181 지급수수료_이체수수료,"9,362,756","6,986,625","2,376,131",34.0
55210000,55210183 지급수수료_임대매출원가 대체,"-146,399,331",0,"-146,399,331",
55210000,55210187 지급수수료_리스부채상환,"-62,540,133","-190,486,100","127,945,967",67.2
55210000,55210191 지급수수료_그룹CI사용료,"828,631,525","877,705,059","-49,073,534",5.6-
55210000,55210193 지급수수료_안전보건교육,"-21,500","3,725,000","-3,746,500",100.6-
55210000,55210195 지급수수료_안전보건진단,"1,500,000","500,000","1,000,000",200.0
